"ward","crimes","year"
"29","10244","2007"
"30","6115","2007"
"31","6053","2007"
"32","7630","2007"
"33","4064","2007"
"34","13594","2007"
"35","5548","2007"
"36","4439","2007"
"37","12075","2007"
"38","4510","2007"
"39","4045","2007"
"40","4600","2007"
"41","4535","2007"
"42","14697","2007"
"43","5645","2007"
"44","5408","2007"
"45","4144","2007"
"46","5843","2007"
"47","4291","2007"
"48","4157","2007"
"49","6215","2007"
"50","4188","2007"
"1","8258","2008"
"2","15747","2008"
"3","13163","2008"
"4","7457","2008"
"5","9954","2008"
"6","14378","2008"
"7","11569","2008"
"8","11955","2008"
"9","10475","2008"
"10","7135","2008"
"11","5781","2008"
"12","5093","2008"
"13","5793","2008"
"14","5989","2008"
"15","12844","2008"
"16","12393","2008"
"17","15066","2008"
"18","7781","2008"
"19","3942","2008"
"20","14178","2008"
"21","13097","2008"
"22","5076","2008"
"23","5715","2008"
"24","15518","2008"
"25","5513","2008"
"26","6959","2008"
"27","14445","2008"
"28","18871","2008"
"29","9809","2008"
"30","6188","2008"
"31","5981","2008"
"32","7732","2008"
"33","4193","2008"
"34","12428","2008"
"35","5458","2008"
"36","4722","2008"
"37","11995","2008"
"38","4742","2008"
"39","4289","2008"
"40","4515","2008"
"41","4578","2008"
"42","15066","2008"
"43","5497","2008"
"44","5610","2008"
"45","4575","2008"
"46","5502","2008"
"47","4285","2008"
"48","4065","2008"
"49","5881","2008"
"50","4369","2008"
"1","7716","2009"
"2","13616","2009"
"3","10818","2009"
"4","6571","2009"
"5","9209","2009"
"6","12863","2009"
"7","10976","2009"
"8","10449","2009"
"9","9901","2009"
"10","6874","2009"
"11","5406","2009"
"12","4468","2009"
"13","5304","2009"
"14","5629","2009"
"15","11390","2009"
"16","11258","2009"
"17","13432","2009"
"18","7015","2009"
"19","3555","2009"
"20","13544","2009"
"21","12160","2009"
"22","4559","2009"
"23","5322","2009"
"24","13854","2009"
"25","4985","2009"
"26","6924","2009"
"27","13761","2009"
"28","17688","2009"
"29","9427","2009"
"30","6020","2009"
"31","5967","2009"
"32","7071","2009"
"33","4018","2009"
"34","11816","2009"
"35","5285","2009"
"36","4725","2009"
"37","11491","2009"
"38","4508","2009"
"39","3883","2009"
"40","4051","2009"
"41","4008","2009"
"42","14081","2009"
"43","4864","2009"
"44","5285","2009"
"45","4083","2009"
"46","4730","2009"
"47","4171","2009"
"48","3590","2009"
"49","5414","2009"
"50","4197","2009"
"1","7258","2010"
"2","13333","2010"
"3","9588","2010"
"4","6381","2010"
"5","9062","2010"
"6","12307","2010"
"7","9714","2010"
"8","9854","2010"
"9","9149","2010"
"10","6420","2010"
"11","5000","2010"
"12","4503","2010"
"13","4614","2010"
"14","5314","2010"
"15","11327","2010"
"16","10929","2010"
"17","12745","2010"
"18","6661","2010"
"19","3363","2010"
"20","12646","2010"
"21","11155","2010"
"22","4371","2010"
"23","4281","2010"
"24","14142","2010"
"25","4848","2010"
"26","6718","2010"
